,code,type,team,player,x,y,minute,second,period,match,team_name,player_name,outcome,phase,tipo.1,end_x,end_y,extra
36,1,pass,184,434078,61.8,6.0,1,38,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,69.4,6.9,0
37,61,touched_ball,184,449300,67.9,7.6,1,40,1,2372222,Rayo Vallecano,Randy Nteka,0,0,0,0.0,0.0,0
38,61,touched_ball,1564,220871,34.1,94.7,1,41,1,2372222,Almería,Sergio Akieme,1,0,0,0.0,0.0,0
39,49,ball_recovery,1564,233681,35.7,86.2,1,41,1,2372222,Almería,Lucas Robertone,1,0,0,0.0,0.0,0
40,1,pass,1564,233681,35.9,83.8,1,41,1,2372222,Almería,Lucas Robertone,1,0,0,19.7,80.3,0
41,1,pass,1564,210977,19.7,80.3,1,44,1,2372222,Almería,Srdjan Babic,1,0,0,7.4,56.0,0
42,1,pass,1564,76611,7.9,47.9,1,52,1,2372222,Almería,Diego Mariño,1,0,0,9.5,25.8,0
43,1,pass,1564,469402,9.7,24.4,1,54,1,2372222,Almería,Edgar González,1,0,0,24.9,57.8,0
44,1,pass,1564,463170,18.8,54.3,1,57,1,2372222,Almería,Iddrisu Baba,1,0,0,12.6,75.4,0
45,1,pass,1564,210977,23.8,72.1,2,3,1,2372222,Almería,Srdjan Babic,1,0,0,14.3,32.5,0
46,1,pass,1564,469402,24.6,26.2,2,7,1,2372222,Almería,Edgar González,1,0,0,34.1,24.1,0
47,61,touched_ball,1564,433952,30.1,17.6,2,9,1,2372222,Almería,Largie Ramazani,0,0,0,0.0,0.0,0
48,49,ball_recovery,184,433161,70.4,90.4,2,10,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,0.0,0.0,0
49,1,pass,184,433161,70.4,90.4,2,10,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,58.7,90.8,0
50,1,failed_pass,184,178424,52.8,94.6,2,13,1,2372222,Rayo Vallecano,Alfonso Espino,0,0,0,53.4,92.1,0
51,61,touched_ball,1564,441293,42.5,7.4,2,13,1,2372222,Almería,Lázaro,1,0,0,0.0,0.0,0
52,1,pass,184,183462,47.2,83.0,2,15,1,2372222,Rayo Vallecano,Unai López,1,0,0,29.2,53.1,0
53,1,pass,184,89399,28.5,47.8,2,18,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,43.6,4.2,0
54,1,pass,184,97624,64.0,4.5,2,25,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,63.1,11.6,0
55,1,pass,184,434078,58.3,7.2,2,28,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,43.9,16.7,0
56,1,pass,184,183462,44.1,26.3,2,31,1,2372222,Rayo Vallecano,Unai López,1,0,0,40.3,64.1,0
57,1,pass,184,77359,42.4,67.4,2,34,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,58.3,94.6,0
58,1,pass,184,178424,58.9,91.7,2,36,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,59.2,72.5,0
59,1,pass,184,433161,59.2,71.7,2,37,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,55.9,82.3,0
60,1,pass,184,178424,55.6,81.5,2,38,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,45.1,50.4,0
61,1,pass,184,89399,45.1,49.6,2,40,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,56.5,27.0,0
62,1,pass,184,183462,61.2,14.3,2,45,1,2372222,Rayo Vallecano,Unai López,1,0,0,59.0,5.6,0
63,1,pass,184,97624,60.4,8.0,2,46,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,52.6,33.1,0
64,1,pass,184,89399,53.6,44.4,2,51,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,58.9,76.3,0
65,1,pass,184,433161,58.4,78.3,2,56,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,46.4,70.5,0
66,1,pass,184,77359,45.5,67.2,2,59,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,46.8,31.7,0
67,1,pass,184,183462,59.8,26.6,3,3,1,2372222,Rayo Vallecano,Unai López,1,0,0,66.4,5.2,0
68,1,pass,184,434078,69.1,4.2,3,8,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,80.3,4.7,0
69,1,pass,184,97624,82.4,4.5,3,11,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,91.9,44.2,0
70,13,chance_missed,184,449300,93.5,42.9,3,12,1,2372222,Rayo Vallecano,Randy Nteka,1,22,0,0.0,0.0,0
71,5,ball_out,1564,469402,0.0,61.9,3,13,1,2372222,Almería,Edgar González,1,0,346,0.0,0.0,0
72,5,ball_out,184,449300,100.0,38.1,3,13,1,2372222,Rayo Vallecano,Randy Nteka,0,0,346,0.0,0.0,0
73,1,pass,1564,76611,4.6,53.1,3,40,1,2372222,Almería,Diego Mariño,1,0,0,7.3,27.6,0
74,1,pass,1564,469402,7.3,27.6,3,42,1,2372222,Almería,Edgar González,1,0,0,10.6,8.5,0
75,1,failed_pass,1564,234548,10.8,8.6,3,44,1,2372222,Almería,Álex Pozo,0,0,0,12.4,8.8,0
76,61,touched_ball,184,165682,72.8,88.0,3,44,1,2372222,Rayo Vallecano,Álvaro García,1,0,0,0.0,0.0,0
77,1,pass,184,178424,58.2,87.0,3,48,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,59.0,72.3,0
78,1,failed_pass,184,434078,58.8,70.7,3,49,1,2372222,Rayo Vallecano,Isi Palazón,0,0,0,59.2,60.7,0
79,1,failed_pass,1564,433952,53.7,41.8,3,53,1,2372222,Almería,Largie Ramazani,0,0,0,68.7,51.8,0
80,61,touched_ball,184,89399,29.6,50.9,3,54,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,0.0,0.0,0
81,49,ball_recovery,184,434078,42.9,48.6,3,55,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,0.0,0.0,0
82,1,pass,184,434078,45.0,46.0,3,58,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,45.8,20.5,0
83,1,pass,184,97624,61.8,6.5,4,3,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,63.6,19.2,0
84,1,pass,184,434078,60.6,23.0,4,5,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,52.5,29.7,0
85,1,pass,184,183462,52.8,31.0,4,7,1,2372222,Rayo Vallecano,Unai López,1,0,0,42.7,67.6,0
86,1,pass,184,77359,42.7,69.4,4,11,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,54.9,75.0,0
87,1,pass,184,40721,55.1,77.0,4,11,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,44.3,69.0,0
88,1,pass,184,77359,44.3,69.0,4,13,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,54.5,90.9,0
89,1,pass,184,178424,54.1,79.0,4,15,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,36.4,8.7,0
90,1,pass,184,183462,36.4,7.1,4,20,1,2372222,Rayo Vallecano,Unai López,1,0,0,48.7,2.5,0
91,1,pass,184,97624,48.7,2.5,4,22,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,42.0,6.9,0
92,1,pass,184,183462,41.8,12.0,4,24,1,2372222,Rayo Vallecano,Unai López,1,0,0,34.5,67.6,0
93,1,pass,184,77359,38.9,70.3,4,28,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,67.4,94.4,0
94,1,pass,184,165682,68.8,94.4,4,30,1,2372222,Rayo Vallecano,Álvaro García,1,0,0,64.8,87.5,0
95,1,pass,184,40721,66.4,89.3,4,34,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,73.2,85.7,0
96,1,pass,184,178424,73.4,85.1,4,35,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,73.1,89.3,0
97,1,pass,184,40721,73.1,89.9,4,36,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,83.0,93.7,0
98,1,failed_pass,184,165682,84.3,94.8,4,38,1,2372222,Rayo Vallecano,Álvaro García,0,0,0,88.1,92.9,0
99,74,pass_block,1564,234548,16.5,7.3,4,38,1,2372222,Almería,Álex Pozo,1,0,0,0.0,0.0,0
100,5,ball_out,1564,234548,15.6,0.0,4,40,1,2372222,Almería,Álex Pozo,0,0,347,0.0,0.0,0
101,5,ball_out,184,165682,84.4,100.0,4,40,1,2372222,Rayo Vallecano,Álvaro García,1,0,347,0.0,0.0,0
102,1,pass,184,178424,85.6,100.0,4,53,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,78.6,87.1,0
103,1,failed_pass,184,165682,78.5,87.1,4,54,1,2372222,Rayo Vallecano,Álvaro García,0,0,0,94.3,93.8,0
104,12,clearance,1564,234548,5.8,10.3,4,56,1,2372222,Almería,Álex Pozo,1,0,0,6.4,8.6,0
105,61,touched_ball,184,178424,93.2,95.8,4,56,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,0.0,0.0,0
106,5,ball_out,1564,234548,4.8,0.0,4,57,1,2372222,Almería,Álex Pozo,1,0,347,0.0,0.0,0
107,5,ball_out,184,165682,95.2,100.0,4,57,1,2372222,Rayo Vallecano,Álvaro García,0,0,347,0.0,0.0,0
108,1,pass,1564,234548,6.1,0.0,5,4,1,2372222,Almería,Álex Pozo,1,0,0,5.1,12.9,0
109,1,pass,1564,233681,5.1,12.9,5,6,1,2372222,Almería,Lucas Robertone,1,0,0,3.8,6.4,0
110,1,pass,1564,234548,3.8,6.4,5,7,1,2372222,Almería,Álex Pozo,1,0,0,3.2,11.6,0
111,61,touched_ball,1564,233681,2.9,12.2,5,8,1,2372222,Almería,Lucas Robertone,0,0,0,0.0,0.0,0
112,6,corner_kick,1564,233681,5.0,12.8,5,9,1,2372222,Almería,Lucas Robertone,0,0,0,0.0,0.0,0
113,6,corner_kick,184,178424,95.0,87.2,5,9,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,0.0,0.0,0
114,1,failed_pass,184,183462,99.5,99.5,5,37,1,2372222,Rayo Vallecano,Unai López,0,0,0,92.0,73.2,0
115,12,clearance,1564,234548,4.4,30.7,5,38,1,2372222,Almería,Álex Pozo,1,0,0,12.7,18.0,0
116,1,pass,184,165682,87.7,83.7,5,40,1,2372222,Rayo Vallecano,Álvaro García,1,0,0,89.9,93.1,0
117,1,failed_pass,184,183462,88.1,92.8,5,43,1,2372222,Rayo Vallecano,Unai López,0,0,0,96.9,51.6,0
118,52,goalkeeper_catches_ball,1564,76611,2.3,46.9,5,44,1,2372222,Almería,Diego Mariño,0,0,0,0.0,0.0,0
119,1,pass,1564,76611,14.6,47.6,5,48,1,2372222,Almería,Diego Mariño,1,0,0,24.5,77.2,0
120,1,pass,1564,220871,44.1,69.6,5,56,1,2372222,Almería,Sergio Akieme,1,0,0,41.0,78.8,0
121,1,pass,1564,463170,41.9,82.1,5,58,1,2372222,Almería,Iddrisu Baba,1,0,0,59.2,95.9,0
122,1,pass,1564,441293,47.2,83.9,6,2,1,2372222,Almería,Lázaro,1,0,0,37.3,61.2,0
123,1,pass,1564,210977,38.4,52.8,6,5,1,2372222,Almería,Srdjan Babic,1,0,0,38.1,36.1,0
124,1,pass,1564,469402,38.1,36.1,6,9,1,2372222,Almería,Edgar González,1,0,0,54.9,7.4,0
125,1,pass,1564,234548,55.3,7.4,6,11,1,2372222,Almería,Álex Pozo,1,0,0,65.7,31.8,0
126,1,pass,1564,433952,65.8,31.8,6,12,1,2372222,Almería,Largie Ramazani,1,0,0,87.5,39.5,0
127,61,touched_ball,1564,132161,87.5,39.5,6,15,1,2372222,Almería,Adri Embarba,0,0,0,0.0,0.0,0
128,52,goalkeeper_catches_ball,184,94878,9.4,48.7,6,17,1,2372222,Rayo Vallecano,Stole Dimitrievski,0,0,0,0.0,0.0,0
129,1,pass,184,94878,13.4,44.7,6,21,1,2372222,Rayo Vallecano,Stole Dimitrievski,1,0,0,29.3,81.5,0
130,3,failed_dribble,184,40721,43.4,92.5,6,24,1,2372222,Rayo Vallecano,Óscar Trejo,0,0,0,0.0,0.0,0
131,7,tackle,1564,233681,56.6,7.5,6,25,1,2372222,Almería,Lucas Robertone,1,0,0,0.0,0.0,0
132,49,ball_recovery,1564,234548,44.4,8.2,6,26,1,2372222,Almería,Álex Pozo,1,0,0,0.0,0.0,0
133,3,failed_dribble,1564,234548,45.1,8.5,6,27,1,2372222,Almería,Álex Pozo,0,0,0,0.0,0.0,0
134,7,tackle,184,40721,54.9,91.5,6,27,1,2372222,Rayo Vallecano,Óscar Trejo,0,0,0,0.0,0.0,0
135,61,touched_ball,1564,234548,44.5,6.1,6,27,1,2372222,Almería,Álex Pozo,1,0,0,0.0,0.0,0
136,49,ball_recovery,184,40721,56.3,92.0,6,28,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,0.0,0.0,0
137,1,pass,184,40721,56.3,92.0,6,28,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,69.8,95.5,0
138,3,failed_dribble,184,165682,79.6,81.4,6,32,1,2372222,Rayo Vallecano,Álvaro García,0,0,0,0.0,0.0,0
139,7,tackle,1564,469402,20.4,18.6,6,32,1,2372222,Almería,Edgar González,0,0,0,0.0,0.0,0
140,61,touched_ball,184,165682,76.5,85.9,6,32,1,2372222,Rayo Vallecano,Álvaro García,1,0,0,0.0,0.0,0
141,1,pass,184,40721,74.7,87.1,6,35,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,69.9,68.8,0
142,1,pass,184,183462,70.2,71.6,6,37,1,2372222,Rayo Vallecano,Unai López,1,0,0,76.3,73.2,0
143,61,touched_ball,184,40721,76.3,73.4,6,37,1,2372222,Rayo Vallecano,Óscar Trejo,0,0,0,0.0,0.0,0
144,12,clearance,1564,234548,18.0,28.9,6,38,1,2372222,Almería,Álex Pozo,1,0,0,25.2,39.4,0
145,49,ball_recovery,1564,463170,25.2,39.4,6,38,1,2372222,Almería,Iddrisu Baba,1,0,0,0.0,0.0,0
146,1,pass,1564,463170,25.3,40.0,6,41,1,2372222,Almería,Iddrisu Baba,1,0,0,36.0,53.4,0
147,1,pass,1564,132161,63.6,60.0,6,47,1,2372222,Almería,Adri Embarba,1,0,0,76.5,78.5,0
148,4,foul_committed,1564,433952,77.6,77.6,6,50,1,2372222,Almería,Largie Ramazani,0,0,152,0.0,0.0,0
149,1,pass,184,89399,22.9,29.7,7,25,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,22.3,68.3,0
150,1,pass,184,77359,18.1,76.7,7,26,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,17.8,49.3,0
151,1,pass,184,89399,18.4,52.8,7,30,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,24.5,68.3,0
152,1,pass,184,77359,30.3,76.5,7,34,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,90.5,83.5,0
153,83,unidentified,1564,234548,5.7,23.3,7,39,1,2372222,Almería,Álex Pozo,0,0,0,0.0,0.0,0
154,1,pass,184,165682,89.2,85.0,7,41,1,2372222,Rayo Vallecano,Álvaro García,1,0,0,86.6,74.1,0
155,1,failed_pass,184,40721,89.4,74.1,7,43,1,2372222,Rayo Vallecano,Óscar Trejo,0,0,0,88.9,55.6,0
156,8,cut_pass,1564,463170,10.1,36.3,7,44,1,2372222,Almería,Iddrisu Baba,1,0,0,0.0,0.0,0
157,12,clearance,1564,469402,10.1,40.8,7,45,1,2372222,Almería,Edgar González,1,0,0,11.1,42.1,0
158,61,touched_ball,184,449300,88.5,55.1,7,45,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,0.0,0.0,0
159,1,pass,184,434078,70.9,68.7,7,52,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,67.2,57.8,0
160,1,pass,184,183462,68.0,52.2,7,55,1,2372222,Rayo Vallecano,Unai López,1,0,0,74.8,40.6,0
161,1,pass,184,449300,70.2,30.1,7,57,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,65.0,38.0,0
162,1,pass,184,183462,64.3,36.4,7,58,1,2372222,Rayo Vallecano,Unai López,1,0,0,68.4,20.8,0
163,1,pass,184,449300,70.9,25.4,8,3,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,68.5,33.1,0
164,1,pass,184,434078,68.6,30.6,8,3,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,75.1,5.1,0
165,1,pass,184,97624,76.0,4.2,8,6,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,66.4,8.5,0
166,1,pass,184,183462,65.1,8.5,8,8,1,2372222,Rayo Vallecano,Unai López,1,0,0,55.4,32.1,0
167,1,pass,184,89399,54.9,33.3,8,10,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,58.0,68.5,0
168,1,pass,184,77359,57.9,80.3,8,14,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,73.6,94.4,0
169,1,pass,184,178424,72.3,92.2,8,17,1,2372222,Rayo Vallecano,Alfonso Espino,1,0,0,62.1,79.5,0
170,1,pass,184,77359,60.3,76.3,8,21,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,0,52.2,61.1,0
171,1,pass,184,433161,53.2,57.8,8,24,1,2372222,Rayo Vallecano,Óscar Valentín,1,0,0,60.9,30.6,0
172,1,pass,184,89399,61.6,29.2,8,27,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,74.1,51.4,0
173,1,pass,184,449300,74.7,52.5,8,29,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,75.1,43.5,0
174,3,failed_dribble,184,40721,80.1,47.6,8,30,1,2372222,Rayo Vallecano,Óscar Trejo,0,0,0,0.0,0.0,0
175,4,foul_received,184,40721,79.4,44.6,8,30,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,152,0.0,0.0,265
176,4,foul_committed,1564,210977,20.6,55.4,8,30,1,2372222,Almería,Srdjan Babic,0,0,152,0.0,0.0,265
177,13,chance_missed,184,434078,81.4,50.4,9,48,1,2372222,Rayo Vallecano,Isi Palazón,1,26,0,0.0,0.0,0
178,5,ball_out,1564,76611,0.0,44.8,9,49,1,2372222,Almería,Diego Mariño,1,0,346,0.0,0.0,0
179,5,ball_out,184,434078,100.0,55.2,9,49,1,2372222,Rayo Vallecano,Isi Palazón,0,0,346,0.0,0.0,0
180,1,pass,1564,76611,4.1,42.3,10,6,1,2372222,Almería,Diego Mariño,1,0,0,8.3,24.4,0
181,2,offside_pass,1564,469402,8.4,22.5,10,9,1,2372222,Almería,Edgar González,1,0,0,50.9,44.5,0
182,55,unidentified,184,89399,49.0,53.6,10,9,1,2372222,Rayo Vallecano,Aridane Hernández,1,0,0,0.0,0.0,0
183,1,failed_pass,184,77359,42.9,66.0,10,44,1,2372222,Rayo Vallecano,Florian Lejeune,0,0,0,77.1,6.3,0
184,44,aerial_duel,1564,220871,24.2,93.8,10,46,1,2372222,Almería,Sergio Akieme,1,0,0,0.0,0.0,0
185,44,aerial_duel,184,434078,75.8,6.2,10,46,1,2372222,Rayo Vallecano,Isi Palazón,0,0,0,0.0,0.0,0
186,12,clearance,1564,220871,25.2,92.3,10,46,1,2372222,Almería,Sergio Akieme,1,0,0,31.5,101.4,0
187,5,ball_out,1564,220871,31.1,100.0,10,48,1,2372222,Almería,Sergio Akieme,0,0,347,0.0,0.0,0
188,5,ball_out,184,434078,68.9,0.0,10,48,1,2372222,Rayo Vallecano,Isi Palazón,1,0,347,0.0,0.0,0
189,1,failed_pass,184,97624,80.4,0.0,10,54,1,2372222,Rayo Vallecano,Iván Balliu,0,0,0,86.8,28.8,0
190,12,clearance,1564,469402,15.3,65.8,10,57,1,2372222,Almería,Edgar González,1,0,0,40.1,89.7,0
191,49,ball_recovery,1564,432838,40.0,89.4,10,59,1,2372222,Almería,Luis Suárez,1,0,0,0.0,0.0,0
192,4,foul_received,1564,432838,38.6,90.0,11,1,1,2372222,Almería,Luis Suárez,1,0,152,0.0,0.0,0
193,4,foul_committed,184,89399,61.4,10.0,11,1,1,2372222,Rayo Vallecano,Aridane Hernández,0,0,152,0.0,0.0,0
194,1,pass,1564,220871,40.0,89.4,11,20,1,2372222,Almería,Sergio Akieme,1,0,0,33.5,35.4,0
195,1,pass,1564,469402,33.4,34.2,11,23,1,2372222,Almería,Edgar González,1,0,0,42.0,32.1,0
196,1,pass,1564,233681,41.3,21.9,11,25,1,2372222,Almería,Lucas Robertone,1,0,0,82.5,12.2,0
197,1,pass,1564,234548,94.0,18.6,11,30,1,2372222,Almería,Álex Pozo,1,0,0,86.7,38.5,0
198,13,chance_missed,1564,132161,87.0,41.5,11,31,1,2372222,Almería,Adri Embarba,1,22,0,0.0,0.0,0
199,5,ball_out,1564,132161,100.0,36.2,11,32,1,2372222,Almería,Adri Embarba,0,0,346,0.0,0.0,0
200,5,ball_out,184,77359,0.0,63.8,11,32,1,2372222,Rayo Vallecano,Florian Lejeune,1,0,346,0.0,0.0,0
201,1,pass,184,94878,4.3,49.6,12,1,1,2372222,Rayo Vallecano,Stole Dimitrievski,1,0,0,61.3,62.1,0
202,44,aerial_duel,184,449300,63.4,63.6,12,4,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,0.0,0.0,0
203,44,aerial_duel,1564,469402,36.6,36.4,12,4,1,2372222,Almería,Edgar González,0,0,0,0.0,0.0,0
204,1,failed_pass,184,449300,62.1,62.5,12,4,1,2372222,Rayo Vallecano,Randy Nteka,0,0,0,65.7,63.0,0
205,61,touched_ball,1564,469402,35.4,35.2,12,4,1,2372222,Almería,Edgar González,1,0,0,0.0,0.0,0
206,49,ball_recovery,1564,463170,30.1,40.4,12,6,1,2372222,Almería,Iddrisu Baba,1,0,0,0.0,0.0,0
207,1,pass,1564,463170,30.1,40.4,12,6,1,2372222,Almería,Iddrisu Baba,1,0,0,32.7,59.3,0
208,61,touched_ball,1564,220871,32.7,59.3,12,7,1,2372222,Almería,Sergio Akieme,0,0,0,0.0,0.0,0
209,61,touched_ball,184,434078,64.8,27.2,12,7,1,2372222,Rayo Vallecano,Isi Palazón,1,0,0,0.0,0.0,0
210,49,ball_recovery,184,449300,70.9,17.2,12,11,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,0.0,0.0,0
211,1,pass,184,449300,73.1,15.2,12,12,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,69.1,5.1,0
212,1,pass,184,97624,69.9,3.8,12,14,1,2372222,Rayo Vallecano,Iván Balliu,1,0,0,66.0,13.0,0
213,1,pass,184,183462,65.2,20.1,12,15,1,2372222,Rayo Vallecano,Unai López,1,0,0,75.0,30.6,0
214,83,unidentified,1564,233681,26.2,76.9,12,17,1,2372222,Almería,Lucas Robertone,0,0,0,0.0,0.0,0
215,1,pass,184,40721,69.0,27.2,12,18,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,74.7,25.7,0
216,1,pass,184,449300,75.1,28.3,12,19,1,2372222,Rayo Vallecano,Randy Nteka,1,0,0,75.5,27.2,0
217,3,dribble_successful,184,40721,83.1,29.4,12,21,1,2372222,Rayo Vallecano,Óscar Trejo,1,0,0,0.0,0.0,0
