team_id	code	type	player	x	y	min	sec	period
184	44	0aerial_duel_lost	449300	67.9	63.4	22	46	1
184	44	0aerial_duel_lost	183462	59.1	69.9	22	50	1
184	12	0despeje_clearance	77359	12.5	49.5	24	3	1
1564	13	miss	233681	71	40.1	24	6	1
1564	44	0aerial_duel_lost	220871	91.5	82.9	24	55	1
184	44	0aerial_duel_lost	449300	64	15.2	25	34	1
1564	44	0aerial_duel_lost	220871	4.4	30.8	26	15	1
1564	44	0aerial_duel_lost	220871	4.8	32.9	26	15	1
184	16	goal	449300	88.5	50	27	22	1
1564	44	0aerial_duel_lost	441293	57.8	29.4	28	28	1
184	61	0mal_control	165682	84.3	85.3	28	53	1
184	44	0aerial_duel_lost	77359	57.8	91.9	29	0	1
1564	13	miss	463170	95.6	47.4	29	56	1
1564	5	0ball_out	463170	100	44.6	29	56	1
184	44	0aerial_duel_lost	434078	57.6	15	32	36	1
1564	61	0mal_control	432838	63.4	82.9	32	38	1
1564	74	0blocked_pass	432838	81.3	86.9	32	42	1
1564	61	0mal_control	432838	78.7	92.7	32	46	1
1564	15	attempt_saved	432838	91.4	61.3	33	2	1
1564	44	0aerial_duel_lost	132161	91.8	71.4	33	4	1
184	5	0ball_out	94878	64.2	0	34	42	1
184	44	0aerial_duel_lost	449300	59.4	15.7	35	10	1
1564	50	0dispossessed	441293	95	9.7	35	31	1
184	44	0aerial_duel_lost	40721	61.9	64.8	36	0	1
184	8	0interception	183462	39.2	55.3	36	30	1
184	61	0mal_control	40721	49.7	69	36	32	1
184	12	0despeje_clearance	89399	7.5	36.2	36	44	1
1564	13	miss	463170	68.6	42.4	36	56	1
1564	5	0ball_out	463170	100	45.8	36	57	1
184	5	0ball_out	94878	57.3	100	37	24	1
184	5	0ball_out	89399	45.2	100	38	26	1
1564	15	attempt_saved	432838	83.6	46.6	38	49	1
1564	44	0aerial_duel_lost	433952	52.6	51.8	39	22	1
184	44	0aerial_duel_lost	183462	44.4	44	39	25	1
184	12	0despeje_clearance	449300	18.9	55	40	44	1
184	5	0ball_out	178424	46.9	100	41	52	1
184	8	0interception	165682	53.7	92.2	42	45	1
184	44	0aerial_duel_lost	178424	41.8	88.5	43	4	1
184	44	0aerial_duel_lost	40721	63.3	32.2	44	17	1
184	15	attempt_saved	183462	79.3	34.2	44	34	1
1564	12	0despeje_clearance	233681	10.1	46.7	44	36	1
1564	44	0aerial_duel_lost	220871	7.8	56.2	44	38	1
184	15	attempt_saved	183462	86.8	36	44	40	1
184	44	0aerial_duel_lost	183462	70.3	66	45	38	1
184	5	0ball_out	40721	79.2	100	46	50	1
184	12	0despeje_clearance	77359	8.9	51.4	47	19	1
1564	13	miss	441293	92.6	29.7	47	21	1
184	12	0despeje_clearance	77359	8.1	55.4	47	23	1
184	5	0ball_out	89399	48	100	47	50	1
1564	8	0interception	233681	41.1	9.2	48	52	1
1564	44	0aerial_duel_lost	433952	83.2	20.7	49	4	1
184	61	0mal_control	89399	14.8	83	49	4	1
1564	61	0mal_control	433952	80.3	13.2	49	8	1
1564	12	0despeje_clearance	76611	16.2	83.3	49	47	1
1564	5	0ball_out	76611	28.6	100	49	48	1
1564	5	0ball_out	132161	22.6	100	50	36	1
184	15	attempt_saved	40721	87	29.7	50	50	1
184	18	player_off	183462	40.8	31.5	45	0	2
184	18	player_off	183462	40.8	31.5	45	0	2
184	19	player_in	441175	40.8	31.5	45	0	2
1564	18	player_off	441293	87.3	100	45	0	2
1564	18	player_off	441293	87.3	100	45	0	2
1564	19	player_in	493344	87.3	100	45	0	2
184	44	0aerial_duel_lost	40721	66.2	28.2	45	13	2
184	12	0despeje_clearance	441175	21	40.6	46	27	2
184	5	0ball_out	441175	12.2	0	46	30	2
184	8	0interception	434078	18.9	12.7	46	51	2
184	50	0dispossessed	434078	31.5	5.2	46	57	2
1564	5	0ball_out	220871	68.2	100	46	58	2
184	44	0aerial_duel_lost	449300	57.8	11.2	47	18	2
1564	61	0mal_control	132161	55.6	92.7	47	20	2
1564	74	0blocked_pass	132161	49.4	96.5	47	23	2
1564	5	0ball_out	132161	42.5	100	47	25	2
184	5	0ball_out	94878	17	0	49	9	2
1564	44	0aerial_duel_lost	132161	80.7	91	49	32	2
1564	44	0aerial_duel_lost	210977	30	78.6	50	8	2
184	44	0aerial_duel_lost	165682	57.2	68.2	50	20	2
184	12	0despeje_clearance	89399	20.4	34.6	50	41	2
184	50	0dispossessed	434078	27.2	14.4	50	44	2
184	12	0despeje_clearance	434078	7.2	63.2	51	28	2
1564	44	0aerial_duel_lost	432838	67.8	73	51	45	2
184	12	0despeje_clearance	94878	4.2	56.5	51	55	2
1564	13	miss	210977	89.9	55.5	52	20	2
1564	5	0ball_out	210977	100	48.4	52	21	2
184	5	0ball_out	449300	57.2	100	52	55	2
184	44	0aerial_duel_lost	441175	42.4	85	53	14	2
1564	13	miss	132161	76.8	55	53	42	2
1564	5	0ball_out	132161	100	43.8	53	43	2
184	44	0aerial_duel_lost	178424	41.1	67.4	54	22	2
184	12	0despeje_clearance	441175	9.1	48.4	55	4	2
1564	44	0aerial_duel_lost	463170	92.5	85.1	55	7	2
1564	61	0mal_control	433952	43.8	38.6	56	5	2
184	5	0ball_out	433161	82	0	56	12	2
184	12	0despeje_clearance	178424	10.4	55.8	57	7	2
1564	50	0dispossessed	493344	74.9	61	57	8	2
184	50	0dispossessed	449300	36.8	15.8	57	13	2
1564	15	attempt_saved	433952	76	31.6	57	34	2
184	44	0aerial_duel_lost	178424	71.1	79.4	58	3	2
184	56	0me_cortan_balon_cuerpo	40721	71.3	96	58	6	2
1564	5	0ball_out	234548	30.9	0	58	7	2
1564	8	0interception	433952	40.7	5.9	58	26	2
1564	15	attempt_saved	433952	94.6	28.7	58	37	2
1564	44	0aerial_duel_lost	233681	92.6	43.6	59	4	2
184	12	0despeje_clearance	434078	6.2	54.3	59	4	2
1564	15	attempt_saved	493344	74.4	24	59	13	2
184	12	0despeje_clearance	77359	7.4	53.4	59	17	2
184	44	0aerial_duel_lost	433161	34.6	32.2	59	55	2
184	12	0despeje_clearance	434078	7.2	13.4	60	27	2
184	12	0despeje_clearance	449300	7	45.7	60	53	2
1564	44	0aerial_duel_lost	463170	92.5	39.6	60	55	2
184	12	0despeje_clearance	89399	11.1	64.1	60	55	2
1564	44	0aerial_duel_lost	469402	95	50.1	61	16	2
184	12	0despeje_clearance	441175	6.5	47.2	61	17	2
1564	13	miss	132161	80.5	53.7	61	18	2
1564	5	0ball_out	132161	100	43.6	61	20	2
184	18	player_off	40721	3.6	51.6	62	20	2
184	18	player_off	40721	3.6	51.6	62	20	2
184	19	player_in	94756	3.6	51.6	62	20	2
184	8	0interception	434078	46.4	60.5	62	48	2
1564	61	0mal_control	132161	67.9	84.5	62	59	2
1564	74	0blocked_pass	463170	59.1	72.4	63	3	2
184	50	0dispossessed	94756	70.2	35.8	63	37	2
184	44	0aerial_duel_lost	433161	62.6	76.6	64	8	2
1564	18	player_off	234548	37.1	26.7	65	11	2
1564	18	player_off	234548	37.1	26.7	65	11	2
1564	19	player_in	562720	37.1	26.7	65	11	2
1564	44	0aerial_duel_lost	433952	59.6	18.7	65	32	2
184	44	0aerial_duel_lost	441175	46.7	66.8	65	34	2
184	44	0aerial_duel_lost	441175	60.9	65	66	5	2
184	12	0despeje_clearance	77359	12.4	95.3	66	26	2
184	5	0ball_out	77359	14.6	100	66	27	2
184	12	0despeje_clearance	89399	8	53.6	66	41	2
1564	44	0aerial_duel_lost	132161	89.6	43.4	66	44	2
184	12	0despeje_clearance	77359	10.4	59.2	66	44	2
184	12	0despeje_clearance	178424	5.4	66.6	66	56	2
184	12	0despeje_clearance	449300	9.2	57.6	67	21	2
184	5	0ball_out	449300	26.8	100	67	27	2
1564	44	0aerial_duel_lost	432838	91.8	42.4	67	34	2
184	12	0despeje_clearance	77359	8.5	56.1	67	34	2
184	50	0dispossessed	449300	33.6	91.4	67	40	2
184	50	0dispossessed	94756	75.5	28.3	67	45	2
1564	15	attempt_saved	493344	84.7	39.1	68	5	2
184	50	0dispossessed	441175	55.5	17.1	69	1	2
184	8	0interception	89399	59.5	11	69	46	2
1564	12	0despeje_clearance	220871	8.2	48.8	70	52	2
1564	12	0despeje_clearance	562720	4.8	46.4	70	52	2
184	15	attempt_saved	434078	81.3	31.6	70	57	2
1564	61	0mal_control	432838	43.5	72.1	71	6	2
1564	44	0aerial_duel_lost	463170	31.2	93	71	12	2
184	50	0dispossessed	441175	68.2	59	72	8	2
184	8	0interception	434078	67.6	35.3	72	11	2
184	5	0ball_out	178424	79.7	0	72	14	2
1564	13	miss	493344	86.9	51.9	73	40	2
1564	5	0ball_out	493344	100	63.7	73	42	2
1564	44	0aerial_duel_lost	233681	41.9	72.2	74	10	2
1564	44	0aerial_duel_lost	463170	53.6	46	74	15	2
184	61	0mal_control	449300	61.1	15	75	1	2
184	44	0aerial_duel_lost	449300	59.2	15.8	75	2	2
1564	18	player_off	463170	20	10.6	76	46	2
1564	18	player_off	463170	20	10.6	76	46	2
1564	19	player_in	195457	20	10.6	76	46	2
1564	18	player_off	233681	20	10.6	76	56	2
1564	18	player_off	233681	20	10.6	76	56	2
1564	19	player_in	476412	20	10.6	76	56	2
1564	15	attempt_saved	220871	86.1	67.2	78	7	2
1564	61	0mal_control	220871	92	91.8	78	11	2
1564	5	0ball_out	220871	93.6	100	78	13	2
184	12	0despeje_clearance	178424	11.5	84.8	78	57	2
184	5	0ball_out	178424	12.4	100	79	0	2
1564	61	0mal_control	132161	85.2	47.8	79	14	2
184	12	0despeje_clearance	77359	13.7	59.6	79	15	2
1564	13	miss	476412	70.9	49.6	79	39	2
1564	5	0ball_out	476412	100	33.4	79	41	2
184	15	attempt_saved	449300	80.6	53.3	80	28	2
1564	12	0despeje_clearance	469402	17.4	43.6	80	31	2
184	15	attempt_saved	178424	87	73.9	81	3	2
184	18	player_off	449300	99.5	99.5	81	47	2
184	18	player_off	449300	99.5	99.5	81	47	2
184	19	player_in	48847	99.5	99.5	81	47	2
184	44	0aerial_duel_lost	433161	75	43	82	2	2
1564	18	player_off	433952	24.6	58.8	82	22	2
1564	18	player_off	433952	24.6	58.8	82	22	2
1564	19	player_in	539673	24.6	58.8	82	22	2
184	5	0ball_out	433161	39.8	100	82	45	2
184	44	0aerial_duel_lost	441175	56	41.9	82	59	2
184	12	0despeje_clearance	178424	13.2	64.5	83	49	2
1564	44	0aerial_duel_lost	539673	91.3	46.8	83	54	2
184	12	0despeje_clearance	77359	9.5	54	83	55	2
1564	15	attempt_saved	432838	86.2	70.3	84	1	2
1564	44	0aerial_duel_lost	210977	62.1	87.2	84	6	2
184	18	player_off	433161	38.1	14.7	85	5	2
184	18	player_off	433161	38.1	14.7	85	5	2
184	19	player_in	587592	38.1	14.7	85	5	2
184	18	player_off	165682	38.1	14.7	85	17	2
184	18	player_off	165682	38.1	14.7	85	17	2
184	19	player_in	498444	38.1	14.7	85	17	2
184	74	0blocked_pass	498444	70.8	93.5	85	41	2
1564	44	0aerial_duel_lost	562720	28.6	9.4	85	42	2
184	61	0mal_control	498444	71.8	92.6	85	42	2
1564	61	0mal_control	562720	28.9	22.2	85	44	2
184	61	0mal_control	434078	69.8	67.8	85	48	2
184	44	0aerial_duel_lost	178424	33.4	87.7	86	1	2
1564	44	0aerial_duel_lost	132161	66.2	9.8	86	3	2
184	8	0interception	587592	42	75	86	54	2
184	44	0aerial_duel_lost	587592	52.4	70.5	86	57	2
1564	50	0dispossessed	132161	72.8	28.6	87	8	2
184	44	0aerial_duel_lost	48847	39.6	62.8	87	38	2
1564	5	0ball_out	132161	100	69.6	88	1	2
1564	5	0ball_out	195457	45.8	100	88	33	2
1564	5	0ball_out	476412	73.8	100	89	7	2
1564	8	0interception	493344	60.6	62.8	89	26	2
184	61	0mal_control	498444	75.5	91.9	89	35	2
184	44	0aerial_duel_lost	97624	58.7	11.2	89	49	2
184	8	0interception	94756	35.4	11.6	90	18	2
184	12	0despeje_clearance	77359	19	47.5	90	28	2
1564	13	miss	432838	91	41.5	90	47	2
1564	5	0ball_out	210977	76.5	100	90	57	2
184	8	0interception	178424	33	80.8	92	13	2
1564	61	0mal_control	195457	64.2	26.1	92	13	2
1564	44	0aerial_duel_lost	220871	39.2	56	92	22	2
1564	44	0aerial_duel_lost	432838	40.6	76.4	93	5	2
1564	44	0aerial_duel_lost	432838	36.2	95.2	93	45	2
1564	44	0aerial_duel_lost	132161	53.8	57.8	94	18	2
1564	5	0ball_out	493344	100	35	94	48	2
